P0L,P0R,P1L,P1R,C0L,C0R,C1L,C1R,KEY
0xA3B0,0x3E05,0xA3F0,0x3E05,0xFFD7,0xF37A,0xAA68,0x3E94,0xDFF0
0xA380,0x3E05,0xA3C0,0x3E05,0x49BF,0xB57F,0xB27F,0x5B73,0xDFF0
0xA390,0x3E05,0xA3D0,0x3E05,0x4489,0xBA4E,0x53B5,0x6670,0xDFF0
0xA3E0,0x7E05,0xA3A0,0x7E05,0x8E20,0xAAA0,0x0CEC,0x7A9D,0xDFF0
0xA3F0,0x7E05,0xA3B0,0x7E05,0xCE68,0x6EB9,0xB529,0x6FC9,0xDFF0
0xA3C0,0x7E05,0xA380,0x7E05,0x12A4,0x4EF6,0xC803,0xD991,0xDFF0
0xA3D0,0x7E05,0xA390,0x7E05,0x416B,0x0BF2,0xD976,0xF90F,0xDFF0
0xA3A0,0x7E05,0xA3E0,0x7E05,0x0CEC,0x7A9D,0x8E20,0xAAA0,0xDFF0
0xA3B0,0x7E05,0xA3F0,0x7E05,0xB529,0x6FC9,0xCE68,0x6EB9,0xDFF0
0xA380,0x7E05,0xA3C0,0x7E05,0xC803,0xD991,0x12A4,0x4EF6,0xDFF0
0xA390,0x7E05,0xA3D0,0x7E05,0xD976,0xF90F,0x416B,0x0BF2,0xDFF0
0xFAA8,0x238D,0xFAE8,0x238D,0xAB4B,0x42C1,0x3944,0xE4AD,0xDFF0
0xFAB8,0x238D,0xFAF8,0x238D,0x84C1,0x3EDA,0x5F24,0x3EBE,0xDFF0
0xFA88,0x238D,0xFAC8,0x238D,0x5B38,0xF7D1,0xFF38,0xB370,0xDFF0
0xFA98,0x238D,0xFAD8,0x238D,0x8990,0x4038,0x3AA9,0x8160,0xDFF0
0xFAE8,0x238D,0xFAA8,0x238D,0x3944,0xE4AD,0xAB4B,0x42C1,0xDFF0
0xFAF8,0x238D,0xFAB8,0x238D,0x5F24,0x3EBE,0x84C1,0x3EDA,0xDFF0
0xFAC8,0x238D,0xFA88,0x238D,0xFF38,0xB370,0x5B38,0xF7D1,0xDFF0
0xFAD8,0x238D,0xFA98,0x238D,0x3AA9,0x8160,0x8990,0x4038,0xDFF0
0xFAA8,0x638D,0xFAE8,0x638D,0x7311,0x5F8A,0x399D,0x3E04,0xDFF0
0xFAB8,0x638D,0xFAF8,0x638D,0x762B,0x149F,0x63CC,0xD989,0xDFF0
0xFA88,0x638D,0xFAC8,0x638D,0xD051,0x9290,0xC545,0x2475,0xDFF0
0xFA98,0x638D,0xFAD8,0x638D,0x6795,0x3F0F,0x6C4D,0xBEE7,0xDFF0
0xFAE8,0x638D,0xFAA8,0x638D,0x399D,0x3E04,0x7311,0x5F8A,0xDFF0
0xFAF8,0x638D,0xFAB8,0x638D,0x63CC,0xD989,0x762B,0x149F,0xDFF0
0xFAC8,0x638D,0xFA88,0x638D,0xC545,0x2475,0xD051,0x9290,0xDFF0
0xFAD8,0x638D,0xFA98,0x638D,0x6C4D,0xBEE7,0x6795,0x3F0F,0xDFF0
0xFAA8,0xA38D,0xFAE8,0xA38D,0x139A,0x03CD,0xD5CA,0xE67F,0xDFF0
0xFAB8,0xA38D,0xFAF8,0xA38D,0xE343,0xD9FE,0x8C58,0x6FC7,0xDFF0
0xFA88,0xA38D,0xFAC8,0xA38D,0x995E,0xA9AD,0x0585,0x49C5,0xDFF0
0xFA98,0xA38D,0xFAD8,0xA38D,0xC69B,0x36E8,0xEB37,0xB937,0xDFF0
0xFAE8,0xA38D,0xFAA8,0xA38D,0xD5CA,0xE67F,0x139A,0x03CD,0xDFF0
0xFAF8,0xA38D,0xFAB8,0xA38D,0x8C58,0x6FC7,0xE343,0xD9FE,0xDFF0
0xFAC8,0xA38D,0xFA88,0xA38D,0x0585,0x49C5,0x995E,0xA9AD,0xDFF0
0xFAD8,0xA38D,0xFA98,0xA38D,0xEB37,0xB937,0xC69B,0x36E8,0xDFF0
0xFAA8,0xE38D,0xFAE8,0xE38D,0x7F18,0x01A8,0x6E55,0x1804,0xDFF0
0xFAB8,0xE38D,0xFAF8,0xE38D,0xF12D,0x9ABA,0xCEC1,0x07C7,0xDFF0
0xFA88,0xE38D,0xFAC8,0xE38D,0x8BF7,0xB3EE,0x1563,0xA94A,0xDFF0
0xFA98,0xE38D,0xFAD8,0xE38D,0xB906,0x5DA8,0x8537,0x0DFB,0xDFF0
0xFAE8,0xE38D,0xFAA8,0xE38D,0x6E55,0x1804,0x7F18,0x01A8,0xDFF0
0xFAF8,0xE38D,0xFAB8,0xE38D,0xCEC1,0x07C7,0xF12D,0x9ABA,0xDFF0
0xFAC8,0xE38D,0xFA88,0xE38D,0x1563,0xA94A,0x8BF7,0xB3EE,0xDFF0
0xFAD8,0xE38D,0xFA98,0xE38D,0x8537,0x0DFB,0xB906,0x5DA8,0xDFF0
0x1DA5,0xA964,0x1DE5,0xA964,0x64AB,0x0139,0x3717,0x7B6F,0xDFF0
0x1DB5,0xA964,0x1DF5,0xA964,0x9809,0xDDA3,0xCBDD,0x4DFB,0xDFF0
0x1D85,0xA964,0x1DC5,0xA964,0x8067,0x60FC,0xED0F,0xB3E0,0xDFF0
0x1D95,0xA964,0x1DD5,0xA964,0xCE1F,0x1C6B,0xEAFD,0xDAAF,0xDFF0
0x1DE5,0xA964,0x1DA5,0xA964,0x3717,0x7B6F,0x64AB,0x0139,0xDFF0
0x1DF5,0xA964,0x1DB5,0xA964,0xCBDD,0x4DFB,0x9809,0xDDA3,0xDFF0
0x1DC5,0xA964,0x1D85,0xA964,0xED0F,0xB3E0,0x8067,0x60FC,0xDFF0
0x1DD5,0xA964,0x1D95,0xA964,0xEAFD,0xDAAF,0xCE1F,0x1C6B,0xDFF0
0x1DA5,0xE964,0x1DE5,0xE964,0x4CFB,0x73B2,0x6373,0x1589,0xDFF0
0x1DB5,0xE964,0x1DF5,0xE964,0x6338,0xF7C2,0xFD78,0x2032,0xDFF0
0x1D85,0xE964,0x1DC5,0xE964,0x96BB,0xC538,0xBF27,0xDED1,0xDFF0
0x1D95,0xE964,0x1DD5,0xE964,0x91CC,0xA97D,0x11F4,0xD076,0xDFF0
0x1DE5,0xE964,0x1DA5,0xE964,0x6373,0x1589,0x4CFB,0x73B2,0xDFF0
0x1DF5,0xE964,0x1DB5,0xE964,0xFD78,0x2032,0x6338,0xF7C2,0xDFF0
0x1DC5,0xE964,0x1D85,0xE964,0xBF27,0xDED1,0x96BB,0xC538,0xDFF0
0x1DD5,0xE964,0x1D95,0xE964,0x11F4,0xD076,0x91CC,0xA97D,0xDFF0
0x1DA5,0x2964,0x1DE5,0x2964,0x62D4,0x1891,0xF1E8,0x9C75,0xDFF0
0x1DB5,0x2964,0x1DF5,0x2964,0xAA90,0x7DC8,0xC50B,0xB892,0xDFF0
0x1D85,0x2964,0x1DC5,0x2964,0x181F,0xBCDE,0x6026,0xFAA6,0xDFF0
0x1D95,0x2964,0x1DD5,0x2964,0xA7FF,0x8B84,0xADFB,0x8C80,0xDFF0
0x1DE5,0x2964,0x1DA5,0x2964,0xF1E8,0x9C75,0x62D4,0x1891,0xDFF0
0x1DF5,0x2964,0x1DB5,0x2964,0xC50B,0xB892,0xAA90,0x7DC8,0xDFF0
0x1DC5,0x2964,0x1D85,0x2964,0x6026,0xFAA6,0x181F,0xBCDE,0xDFF0
0x1DD5,0x2964,0x1D95,0x2964,0xADFB,0x8C80,0xA7FF,0x8B84,0xDFF0
0x1DA5,0x6964,0x1DE5,0x6964,0xF486,0x42D9,0x27A2,0x98DC,0xDFF0
0x1DB5,0x6964,0x1DF5,0x6964,0x016B,0xE0DE,0x428B,0x0AED,0xDFF0
0x1D85,0x6964,0x1DC5,0x6964,0xDEAA,0x8DFA,0x5385,0xF50A,0xDFF0
0x1D95,0x6964,0x1DD5,0x6964,0xD16F,0x4928,0x93FB,0x0AEC,0xDFF0
0x1DE5,0x6964,0x1DA5,0x6964,0x27A2,0x98DC,0xF486,0x42D9,0xDFF0
0x1DF5,0x6964,0x1DB5,0x6964,0x428B,0x0AED,0x016B,0xE0DE,0xDFF0
0x1DC5,0x6964,0x1D85,0x6964,0x5385,0xF50A,0xDEAA,0x8DFA,0xDFF0
0x1DD5,0x6964,0x1D95,0x6964,0x93FB,0x0AEC,0xD16F,0x4928,0xDFF0
0x5E2F,0x291A,0x5E6F,0x291A,0x982D,0x1A8C,0x4AC1,0x8163,0xDFF0
0x5E3F,0x291A,0x5E7F,0x291A,0x9388,0x1B91,0x5A18,0x8303,0xDFF0
0x5E0F,0x291A,0x5E4F,0x291A,0xEE73,0x6042,0x51AB,0xE689,0xDFF0
0x5E1F,0x291A,0x5E5F,0x291A,0x85BA,0xA1D0,0x3C9E,0x01F7,0xDFF0
0x5E6F,0x291A,0x5E2F,0x291A,0x4AC1,0x8163,0x982D,0x1A8C,0xDFF0
0x5E7F,0x291A,0x5E3F,0x291A,0x5A18,0x8303,0x9388,0x1B91,0xDFF0
0x5E4F,0x291A,0x5E0F,0x291A,0x51AB,0xE689,0xEE73,0x6042,0xDFF0
0x5E5F,0x291A,0x5E1F,0x291A,0x3C9E,0x01F7,0x85BA,0xA1D0,0xDFF0
0x5E2F,0x691A,0x5E6F,0x691A,0x6110,0x2FD7,0x5EE4,0x9BE2,0xDFF0
0x5E3F,0x691A,0x5E7F,0x691A,0xACE9,0x88EF,0x8571,0x8A07,0xDFF0
0x5E0F,0x691A,0x5E4F,0x691A,0xD77E,0xDC08,0xEB46,0x9BC3,0xDFF0
0x5E1F,0x691A,0x5E5F,0x691A,0xAAF3,0x6B44,0x79E7,0xCAE2,0xDFF0
0x5E6F,0x691A,0x5E2F,0x691A,0x5EE4,0x9BE2,0x6110,0x2FD7,0xDFF0
0x5E7F,0x691A,0x5E3F,0x691A,0x8571,0x8A07,0xACE9,0x88EF,0xDFF0
0x5E4F,0x691A,0x5E0F,0x691A,0xEB46,0x9BC3,0xD77E,0xDC08,0xDFF0
0x5E5F,0x691A,0x5E1F,0x691A,0x79E7,0xCAE2,0xAAF3,0x6B44,0xDFF0
0x5E2F,0xA91A,0x5E6F,0xA91A,0xEBAB,0x9E81,0x49F0,0x8C74,0xDFF0
0x5E3F,0xA91A,0x5E7F,0xA91A,0x14BB,0x77F9,0xEC3B,0x9D3B,0xDFF0
0x5E0F,0xA91A,0x5E4F,0xA91A,0x086E,0xCDA3,0x14C6,0xEB58,0xDFF0
0x5E1F,0xA91A,0x5E5F,0xA91A,0xFEAF,0x3F6D,0x750B,0x2EC9,0xDFF0
0x5E6F,0xA91A,0x5E2F,0xA91A,0x49F0,0x8C74,0xEBAB,0x9E81,0xDFF0
0x5E7F,0xA91A,0x5E3F,0xA91A,0xEC3B,0x9D3B,0x14BB,0x77F9,0xDFF0
0x5E4F,0xA91A,0x5E0F,0xA91A,0x14C6,0xEB58,0x086E,0xCDA3,0xDFF0
0x5E5F,0xA91A,0x5E1F,0xA91A,0x750B,0x2EC9,0xFEAF,0x3F6D,0xDFF0
0x5E2F,0xE91A,0x5E6F,0xE91A,0xA5DD,0x5851,0xCE62,0x6E8A,0xDFF0
0x5E3F,0xE91A,0x5E7F,0xE91A,0x7792,0xC41F,0x88CC,0xB67D,0xDFF0
0x5E0F,0xE91A,0x5E4F,0xE91A,0xB0A5,0x5118,0x92FA,0x9BB1,0xDFF0
0x5E1F,0xE91A,0x5E5F,0xE91A,0x412A,0x4A05,0x4FFB,0x3503,0xDFF0
0x5E6F,0xE91A,0x5E2F,0xE91A,0xCE62,0x6E8A,0xA5DD,0x5851,0xDFF0
0x5E7F,0xE91A,0x5E3F,0xE91A,0x88CC,0xB67D,0x7792,0xC41F,0xDFF0
0x5E4F,0xE91A,0x5E0F,0xE91A,0x92FA,0x9BB1,0xB0A5,0x5118,0xDFF0
0x5E5F,0xE91A,0x5E1F,0xE91A,0x4FFB,0x3503,0x412A,0x4A05,0xDFF0
0xC212,0xCE59,0xC252,0xCE59,0x2864,0xE86D,0x3E58,0x7E83,0xDFF0
0xC202,0xCE59,0xC242,0xCE59,0x8803,0xC762,0x6292,0x0B7C,0xDFF0
0xC232,0xCE59,0xC272,0xCE59,0xF094,0xFE1F,0x3EEE,0xCE2C,0xDFF0
0xC222,0xCE59,0xC262,0xCE59,0x337E,0x2300,0x807D,0x8FE7,0xDFF0
0xC252,0xCE59,0xC212,0xCE59,0x3E58,0x7E83,0x2864,0xE86D,0xDFF0
0xC242,0xCE59,0xC202,0xCE59,0x6292,0x0B7C,0x8803,0xC762,0xDFF0
0xC272,0xCE59,0xC232,0xCE59,0x3EEE,0xCE2C,0xF094,0xFE1F,0xDFF0
0xC262,0xCE59,0xC222,0xCE59,0x807D,0x8FE7,0x337E,0x2300,0xDFF0
0xC212,0x8E59,0xC252,0x8E59,0xB23D,0xD4B3,0x8647,0x849C,0xDFF0
0xC202,0x8E59,0xC242,0x8E59,0x0CE1,0xCBD7,0xD8BA,0x5DCE,0xDFF0
0xC232,0x8E59,0xC272,0x8E59,0xF9D1,0xC2D4,0x8EA7,0x3985,0xDFF0
0xC222,0x8E59,0xC262,0x8E59,0x7CBF,0xCF0A,0x6B56,0x48DA,0xDFF0
0xC252,0x8E59,0xC212,0x8E59,0x8647,0x849C,0xB23D,0xD4B3,0xDFF0
0xC242,0x8E59,0xC202,0x8E59,0xD8BA,0x5DCE,0x0CE1,0xCBD7,0xDFF0
0xC272,0x8E59,0xC232,0x8E59,0x8EA7,0x3985,0xF9D1,0xC2D4,0xDFF0
0xC262,0x8E59,0xC222,0x8E59,0x6B56,0x48DA,0x7CBF,0xCF0A,0xDFF0
0xC212,0x4E59,0xC252,0x4E59,0x65BE,0x34EF,0xFC7A,0xB0CC,0xDFF0
0xC202,0x4E59,0xC242,0x4E59,0xF69E,0x65DF,0x97F0,0x84B1,0xDFF0
0xC232,0x4E59,0xC272,0x4E59,0x21E0,0x6C80,0xF986,0x0774,0xDFF0
0xC222,0x4E59,0xC262,0x4E59,0x064C,0x660C,0x2D78,0x1732,0xDFF0
0xC252,0x4E59,0xC212,0x4E59,0xFC7A,0xB0CC,0x65BE,0x34EF,0xDFF0
0xC242,0x4E59,0xC202,0x4E59,0x97F0,0x84B1,0xF69E,0x65DF,0xDFF0
0xC272,0x4E59,0xC232,0x4E59,0xF986,0x0774,0x21E0,0x6C80,0xDFF0
0xC262,0x4E59,0xC222,0x4E59,0x2D78,0x1732,0x064C,0x660C,0xDFF0
0xC212,0x0E59,0xC252,0x0E59,0x5A87,0x5B42,0xBA19,0x4E08,0xDFF0
0xC202,0x0E59,0xC242,0x0E59,0x61EA,0x96F7,0x64C0,0xB358,0xDFF0
0xC232,0x0E59,0xC272,0x0E59,0x6677,0x2E32,0xF351,0x1731,0xDFF0
0xC222,0x0E59,0xC262,0x0E59,0x49C4,0x56A1,0xCB6A,0x0D9A,0xDFF0
0xC252,0x0E59,0xC212,0x0E59,0xBA19,0x4E08,0x5A87,0x5B42,0xDFF0
0xC242,0x0E59,0xC202,0x0E59,0x64C0,0xB358,0x61EA,0x96F7,0xDFF0
0xC272,0x0E59,0xC232,0x0E59,0xF351,0x1731,0x6677,0x2E32,0xDFF0
0xC262,0x0E59,0xC222,0x0E59,0xCB6A,0x0D9A,0x49C4,0x56A1,0xDFF0
0x313E,0x072C,0x317E,0x072C,0x6886,0xDB73,0x5872,0x5857,0xDFF0
0x312E,0x072C,0x316E,0x072C,0xB7F3,0xA04B,0xE7BF,0x4314,0xDFF0
0x311E,0x072C,0x315E,0x072C,0x2750,0x48C7,0xEEDC,0x8A8B,0xDFF0
0x310E,0x072C,0x314E,0x072C,0xA319,0x53C1,0x65ED,0xD6E4,0xDFF0
0x317E,0x072C,0x313E,0x072C,0x5872,0x5857,0x6886,0xDB73,0xDFF0
0x316E,0x072C,0x312E,0x072C,0xE7BF,0x4314,0xB7F3,0xA04B,0xDFF0
0x315E,0x072C,0x311E,0x072C,0xEEDC,0x8A8B,0x2750,0x48C7,0xDFF0
0x314E,0x072C,0x310E,0x072C,0x65ED,0xD6E4,0xA319,0x53C1,0xDFF0
0x313E,0x472C,0x317E,0x472C,0x8095,0x3FBE,0x0BD9,0xAD70,0xDFF0
0x312E,0x472C,0x316E,0x472C,0x0DC7,0xB723,0x015C,0x7A09,0xDFF0
0x311E,0x472C,0x315E,0x472C,0x1CAB,0xA552,0x9427,0x5C4C,0xDFF0
0x310E,0x472C,0x314E,0x472C,0x3719,0xFA5E,0xFFF6,0xA3C1,0xDFF0
0x317E,0x472C,0x313E,0x472C,0x0BD9,0xAD70,0x8095,0x3FBE,0xDFF0
0x316E,0x472C,0x312E,0x472C,0x015C,0x7A09,0x0DC7,0xB723,0xDFF0
0x315E,0x472C,0x311E,0x472C,0x9427,0x5C4C,0x1CAB,0xA552,0xDFF0
0x314E,0x472C,0x310E,0x472C,0xFFF6,0xA3C1,0x3719,0xFA5E,0xDFF0
0x313E,0x872C,0x317E,0x872C,0xE61F,0x1DA3,0xF5C3,0x7C8F,0xDFF0
0x312E,0x872C,0x316E,0x872C,0x3067,0xC55B,0xECF7,0x23D8,0xDFF0
0x311E,0x872C,0x315E,0x872C,0x5C73,0x04AE,0x2AD7,0x1988,0xDFF0
0x310E,0x872C,0x314E,0x872C,0xF5D1,0x50E5,0x4045,0x0762,0xDFF0
0x317E,0x872C,0x313E,0x872C,0xF5C3,0x7C8F,0xE61F,0x1DA3,0xDFF0
0x316E,0x872C,0x312E,0x872C,0xECF7,0x23D8,0x3067,0xC55B,0xDFF0
0x315E,0x872C,0x311E,0x872C,0x2AD7,0x1988,0x5C73,0x04AE,0xDFF0
0x314E,0x872C,0x310E,0x872C,0x4045,0x0762,0xF5D1,0x50E5,0xDFF0
0x313E,0xC72C,0x317E,0xC72C,0x7819,0xD6BA,0xF955,0x0D95,0xDFF0
0x312E,0xC72C,0x316E,0xC72C,0xE345,0x27DA,0xF32C,0x6AE2,0xDFF0
0x311E,0xC72C,0x315E,0xC72C,0x5D21,0x2292,0x1C9D,0x29CD,0xDFF0
0x310E,0xC72C,0x314E,0xC72C,0xDBC0,0xFB7C,0x413C,0x7592,0xDFF0
0x317E,0xC72C,0x313E,0xC72C,0xF955,0x0D95,0x7819,0xD6BA,0xDFF0
0x316E,0xC72C,0x312E,0xC72C,0xF32C,0x6AE2,0xE345,0x27DA,0xDFF0
0x315E,0xC72C,0x311E,0xC72C,0x1C9D,0x29CD,0x5D21,0x2292,0xDFF0
0x314E,0xC72C,0x310E,0xC72C,0x413C,0x7592,0xDBC0,0xFB7C,0xDFF0
0x03D8,0x7B48,0x0398,0x7B48,0xE5C2,0x5374,0x7102,0x27D6,0xDFF0
0x03C8,0x7B48,0x0388,0x7B48,0x2B17,0x7F21,0xCA8E,0x008B,0xDFF0
0x03F8,0x7B48,0x03B8,0x7B48,0xC8CE,0xF565,0x871E,0xBF60,0xDFF0
0x03E8,0x7B48,0x03A8,0x7B48,0xDE25,0x6EA3,0x2560,0xC3C5,0xDFF0
0x0398,0x7B48,0x03D8,0x7B48,0x7102,0x27D6,0xE5C2,0x5374,0xDFF0
0x0388,0x7B48,0x03C8,0x7B48,0xCA8E,0x008B,0x2B17,0x7F21,0xDFF0
0x03B8,0x7B48,0x03F8,0x7B48,0x871E,0xBF60,0xC8CE,0xF565,0xDFF0
0x03A8,0x7B48,0x03E8,0x7B48,0x2560,0xC3C5,0xDE25,0x6EA3,0xDFF0
0x03D8,0x3B48,0x0398,0x3B48,0xEDD2,0x0CD9,0x9B33,0xF91F,0xDFF0
0x03C8,0x3B48,0x0388,0x3B48,0x4DF7,0x3606,0x2763,0x4E03,0xDFF0
0x03F8,0x3B48,0x03B8,0x3B48,0xCC46,0xD9C4,0xF042,0x45D3,0xDFF0
0x03E8,0x3B48,0x03A8,0x3B48,0x2255,0x4746,0x90E5,0xA734,0xDFF0
0x0398,0x3B48,0x03D8,0x3B48,0x9B33,0xF91F,0xEDD2,0x0CD9,0xDFF0
0x0388,0x3B48,0x03C8,0x3B48,0x2763,0x4E03,0x4DF7,0x3606,0xDFF0
0x03B8,0x3B48,0x03F8,0x3B48,0xF042,0x45D3,0xCC46,0xD9C4,0xDFF0
0x03A8,0x3B48,0x03E8,0x3B48,0x90E5,0xA734,0x2255,0x4746,0xDFF0
0x03D8,0xFB48,0x0398,0xFB48,0xA407,0xECAD,0xF954,0x5D9E,0xDFF0
0x03C8,0xFB48,0x0388,0xFB48,0xFB0B,0x9B49,0x3298,0xA71A,0xDFF0
0x03F8,0xFB48,0x03B8,0xFB48,0x00E7,0x9C14,0xBB93,0xB7D3,0xDFF0
0x03E8,0xFB48,0x03A8,0xFB48,0x5A7D,0xA7AE,0x00FD,0xEEAD,0xDFF0
0x0398,0xFB48,0x03D8,0xFB48,0xF954,0x5D9E,0xA407,0xECAD,0xDFF0
0x0388,0xFB48,0x03C8,0xFB48,0x3298,0xA71A,0xFB0B,0x9B49,0xDFF0
0x03B8,0xFB48,0x03F8,0xFB48,0xBB93,0xB7D3,0x00E7,0x9C14,0xDFF0
0x03A8,0xFB48,0x03E8,0xFB48,0x00FD,0xEEAD,0x5A7D,0xA7AE,0xDFF0
0x03D8,0xBB48,0x0398,0xBB48,0x8428,0xA868,0xFE5C,0x2FE9,0xDFF0
0x03C8,0xBB48,0x0388,0xBB48,0xC749,0xAA35,0x2187,0x92ED,0xDFF0
0x03F8,0xBB48,0x03B8,0xBB48,0x9B75,0xB36A,0xEECD,0x2713,0xDFF0
0x03E8,0xBB48,0x03A8,0xBB48,0x5C13,0xDAB3,0x1993,0x0642,0xDFF0
0x0398,0xBB48,0x03D8,0xBB48,0xFE5C,0x2FE9,0x8428,0xA868,0xDFF0
0x0388,0xBB48,0x03C8,0xBB48,0x2187,0x92ED,0xC749,0xAA35,0xDFF0
